food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
A020	Wheat, whole (Triticum aestivum)	6	3.64±0.21	5.13±0.33	5.44±0.33	27.06±1.76	4.19±0.23	10.25±1.49	4.80±0.14	3.12±0.31	2.65±0.31	3.83±0.20	6.81±0.33	3.13±0.26	1.75±0.21	2.35±0.23	4.75±0.38	3.01±0.17	1.40±0.10	5.11±0.05
A021	Wheat, bulgur (Triticum aestivum)	6	3.48±0.42	5.36±0.54	5.15±0.19	30.48±5.06	4.27±0.19	10.49±0.52	4.87±0.17	2.46±1.23	2.23±0.25	3.48±0.28	6.61±0.66	2.42±0.10	1.62±0.36	1.96±0.05	4.46±2.10	2.46±0.34	1.11±0.15	4.28±0.25
A022	Wheat, semolina (Triticum aestivum)	6	3.46±0.35	4.34±0.20	4.94±0.21	31.05±1.75	3.50±0.11	9.49±0.84	4.44±0.67	3.00±0.24	2.38±0.27	3.43±0.26	6.71±0.59	2.54±0.13	1.57±0.23	1.79±0.03	4.77±0.32	2.71±0.15	1.04±0.12	4.47±0.39
A023	Wheat, vermicelli (Triticum aestivum)	6	3.59±0.13	2.98±0.43	5.39±0.97	31.96±1.20	4.54±1.77	9.89±1.65	5.33±0.62	2.18±0.76	1.76±0.11	1.56±0.56	5.23±1.23	1.83±0.04	1.17±0.14	1.83±0.02	4.90±1.74	2.26±0.16	1.07±0.09	3.54±1.35
A024	Wheat, vermicelli, roasted (Triticum aestivum)	6	3.74±0.55	2.84±0.49	4.78±0.75	34.08±0.60	4.35±0.47	9.43±0.72	5.35±0.41	1.92±0.82	1.63±0.23	1.46±0.13	5.63±0.24	1.54±0.30	1.15±0.08	1.85±0.08	4.96±2.06	2.25±0.28	0.99±0.14	3.71±0.24
B016	Moth bean (Vigna aconitifolia)	6	5.00±0.42	7.68±0.76	10.54±0.81	16.89±1.33	3.68±0.31	3.95±0.48	5.04±0.38	2.92±0.37	2.80±0.29	4.17±0.57	7.85±0.73	6.63±0.60	0.97±0.20	0.43±0.06	5.85±0.70	3.63±0.11	0.92±0.04	4.90±0.47
B017	Peas, dry (Pisum sativum)	6	4.51±0.44	8.09±0.30	11.34±0.72	17.52±0.81	4.19±0.16	3.73±0.19	4.83±0.38	3.25±0.19	2.34±0.09	3.87±0.46	7.02±0.38	7.12±0.51	0.68±0.19	0.82±0.15	4.76±0.23	3.65±0.15	0.86±0.19	4.67±0.66
B018	Rajmah, black (Phaseolus vulgaris)	2	4.68	5.81	12.96	18.89	3.42	3.23	5.10	3.10	2.44	3.91	6.84	6.01	0.79	0.72	5.32	3.91	1.22	4.83
B019	Rajmah, brown (Phaseolus vulgaris)	6	4.59±0.34	5.96±0.25	11.35±0.95	16.60±0.73	3.90±0.12	3.63±0.27	5.81±0.44	3.24±0.14	2.71±0.22	4.27±0.50	7.93±0.43	6.67±0.18	0.97±0.26	0.62±0.21	5.91±0.56	4.35±0.21	1.04±0.13	5.21±0.69
B020	Rajmah, red (Phaseolus vulgaris)	3	4.57±0.53	6.10±0.85	10.50±0.85	16.01±2.17	3.78±0.49	3.40±0.58	5.74±0.90	3.12±0.37	2.70±0.30	4.23±0.38	7.78±0.71	6.71±0.81	0.88±0.40	0.70±0.18	5.90±0.56	4.18±0.65	1.05±0.27	5.07±0.71
B021	Red gram, dal (Cajanus cajan)	6	4.49±0.87	5.87±0.34	10.26±1.05	21.50±1.33	3.23±0.18	3.94±0.53	4.26±0.43	2.32±0.25	3.16±0.27	3.42±0.43	6.73±0.56	6.16±0.28	0.87±0.22	0.67±0.12	8.76±1.02	3.26±0.17	0.71±0.11	4.38±0.30
