food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
D048	Field beans, tender, lean (Vicia faba)	6	5.58±0.10	6.01±0.23	13.41±1.66	16.19±1.64	4.64±0.17	4.13±0.06	5.64±0.22	3.62±0.13	2.75±0.06	4.30±0.19	8.20±0.37	5.35±0.49	0.94±0.06	0.62±0.11	4.73±0.41	3.76±0.04	0.80±0.08	5.21±0.16
D049	French beans, country (Phaseolus vulgaris)	5	5.78±0.63	5.95±0.71	11.66±0.48	15.73±1.66	4.32±0.26	4.01±0.31	5.09±0.82	3.15±0.50	3.01±0.67	3.79±0.67	7.29±0.81	4.77±0.54	0.83±0.12	0.60±0.15	4.04±0.57	4.39±0.25	0.96±0.13	5.38±0.84
D050	French beans, hybrid (Phaseolus vulgaris)	2	4.08	6.41	11.43	13.06	3.90	5.81	5.20	2.95	2.57	4.35	6.71	4.83	1.07	0.53	4.22	4.32	0.80	5.98
D051	Jack fruit, raw (Artocarpus heterophyllus)	5	6.13±0.30	3.68±0.50	21.99±1.65	10.62±1.45	5.59±0.44	4.06±0.46	4.40±0.57	2.95±0.41	1.86±0.21	4.90±0.48	6.60±0.53	2.99±0.14	0.79±0.11	0.65±0.09	3.96±0.76	4.16±0.56	0.53±0.08	5.65±0.18
D052	Jack fruit, seed, mature (Artocarpus heterophyllus)	5	4.89±0.37	3.02±0.30	15.33±1.83	11.45±0.46	5.99±0.33	4.81±0.53	5.31±0.62	5.61±0.12	1.69±0.17	5.50±0.52	7.19±0.34	3.73±0.29	0.94±0.17	0.55±0.03	6.22±0.34	5.46±0.51	0.94±0.14	6.86±0.10
D053	Knol - Khol (Brassica oleracea)	6	5.51±0.97	5.74±1.70	9.88±0.18	36.40±1.63	3.43±0.14	3.27±0.24	4.02±0.29	2.01±0.09	0.91±0.65	3.40±0.11	4.04±0.09	2.50±1.09	0.96±0.06	0.71±0.02	1.90±0.18	3.30±0.26	0.78±0.05	5.31±0.19
D054	Kovai, big (Coccinia cordifolia)	6	7.18±0.68	6.04±1.10	10.69±1.01	20.82±1.66	5.18±0.19	4.17±0.48	5.71±0.37	3.04±0.64	1.91±0.16	4.10±0.36	7.32±0.34	7.05±0.27	0.94±0.09	0.66±0.11	3.87±0.81	4.17±0.38	0.93±0.08	4.97±0.78
D055	Kovai, small (Coccinia cordifolia)	1	6.57	6.45	11.71	21.11	4.67	3.61	5.19	3.31	1.83	3.88	7.14	6.38	0.90	0.69	4.16	4.20	0.85	5.05
D056	Ladies finger (Abelmoschus esculentus)	6	5.37±0.57	5.95±0.70	15.47±1.48	16.70±1.03	3.95±0.47	3.39±0.47	3.59±0.32	2.51±0.43	2.42±0.37	3.26±0.48	5.04±0.42	3.79±0.51	0.81±0.21	0.57±0.10	3.44±0.27	3.75±0.38	0.49±0.09	4.46±0.36
D057	Mango, green, raw (Mangifera indica)	6	9.22±1.34	5.34±1.22	10.23±0.75	14.23±0.85	5.43±0.81	5.34±1.02	4.99±1.08	3.39±0.55	2.83±0.21	4.44±0.88	7.90±0.75	5.34±0.39	1.37±0.08	0.71±0.05	3.75±0.16	4.19±0.46	1.06±0.36	5.79±1.02
D058	Onion, stalk (Allium cepa)	6	5.91±0.21	4.50±0.29	9.66±0.42	14.62±0.27	7.82±0.31	5.03±0.25	4.53±0.25	3.75±0.24	2.16±0.18	4.88±0.20	8.05±0.20	6.50±0.38	1.21±0.22	0.46±0.12	4.09±0.19	4.74±0.33	1.07±0.03	5.90±0.32
D059	Papaya, raw (Carica papaya)	6	5.07±0.88	3.08±0.25	11.90±0.26	14.27±1.52	4.93±0.48	2.99±0.45	3.56±0.93	4.38±1.31	0.97±0.09	1.57±0.19	3.22±0.28	3.82±0.98	0.63±0.21	3.77±0.37	3.91±1.94	2.85±0.80	1.00±0.10	3.16±0.23
D060	Parwar (Trichosanthes dioica)	6	6.61±1.55	5.97±1.03	9.60±0.60	19.43±2.33	6.21±1.28	5.28±0.31	4.79±0.45	2.96±0.20	1.75±0.27	4.41±0.59	7.22±0.30	5.89±0.91	1.33±0.33	0.86±0.10	3.86±0.99	3.82±0.45	0.59±0.15	5.95±0.32
D061	Peas, fresh (Pisum sativum)	6	4.23±0.32	10.05±1.51	11.61±0.94	17.38±1.96	4.28±0.27	3.78±0.85	4.53±0.38	3.06±0.48	2.15±0.38	3.33±1.04	7.63±0.64	5.72±0.54	0.63±0.12	0.64±0.13	5.02±0.24	4.08±0.37	0.84±0.08	4.23±0.98
D062	Plantain, flower (Musa x paradisiaca)	6	6.96±1.02	5.06±0.31	10.40±0.97	21.78±2.69	5.19±0.40	4.39±0.75	5.62±0.66	2.86±0.29	2.31±0.14	3.63±0.50	7.06±0.47	2.81±0.20	0.81±0.19	0.65±0.15	3.68±0.31	4.43±0.20	0.81±0.10	4.75±0.55
D063	Plantain, green (Musa x paradisiaca)	6	5.94±0.89	4.46±1.11	14.43±1.76	20.43±1.81	3.83±0.38	3.14±0.52	4.45±0.49	2.09±0.47	2.45±0.19	2.59±0.54	4.98±0.51	3.70±0.25	0.80±0.08	0.67±0.10	5.32±1.40	2.93±0.25	0.68±0.13	5.51±0.46
D064	Plantain, stem (Musa x paradisiaca)	6	7.68±1.02	3.84±0.91	10.82±0.87	20.16±3.54	4.06±0.29	4.89±0.95	5.06±0.21	2.83±0.49	1.91±0.58	4.92±0.41	4.59±0.32	2.99±0.64	1.57±0.34	0.99±0.21	4.50±0.78	4.86±0.50	0.67±0.11	5.84±0.62
D065	Pumpkin, green, cylindrical (Cucurbita maxima)	1	4.72	5.23	12.58	20.37	3.15	3.57	4.30	4.48	2.18	4.54	5.41	3.40	0.96	0.60	2.84	3.47	0.73	5.97
D066	Pumpkin, orange, round (Cucurbita maxima)	6	4.96±0.31	3.65±0.45	12.99±1.28	19.58±1.75	5.05±0.36	3.87±0.24	4.42±0.24	2.85±0.40	1.68±0.10	5.00±0.36	5.32±0.34	3.20±0.48	1.03±0.13	0.68±0.06	4.91±1.13	3.85±0.43	0.77±0.19	6.05±0.50
D067	Red gram, tender, fresh (Cajanus cajan)	1	6.60	5.84	10.61	20.95	3.96	4.63	5.09	2.63	3.14	3.31	4.89	6.21	0.41	0.75	8.56	3.87	0.99	4.30
D068	Ridge gourd (Luffa acutangula)	6	6.47±0.39	5.15±0.88	9.98±0.63	21.06±1.69	5.04±0.30	3.39±0.52	4.33±0.07	3.27±0.28	1.87±0.14	4.60±0.14	5.34±0.09	4.78±0.37	0.98±0.08	0.40±0.10	4.21±0.38	3.68±0.11	0.72±0.09	5.95±0.30
D069	Ridge gourd, smooth skin (Luffa acutangula)	3	6.15±0.61	4.85±0.80	9.91±0.42	21.40±3.50	5.04±0.42	3.74±0.71	4.55±0.36	3.24±0.53	2.25±0.59	4.92±0.40	5.79±0.10	4.64±0.72	1.06±0.25	0.42±0.07	4.45±0.28	4.03±0.27	0.69±0.05	5.99±0.30
D070	Snake gourd, long, pale green (Trichosanthes anguina)	6	6.07±0.42	4.83±0.75	10.04±1.07	20.81±1.49	4.46±0.43	3.85±0.78	4.79±0.43	2.62±0.28	1.64±0.12	4.11±0.62	5.22±0.07	4.13±0.28	0.90±0.13	0.65±0.05	4.11±0.36	3.40±0.37	0.60±0.09	5.66±0.48
D071	Snake gourd, long, dark green (Trichosanthes anguina)	2	6.59	5.67	10.16	20.07	4.98	4.18	4.72	2.99	1.85	4.85	5.71	5.64	0.93	0.64	3.95	3.86	0.63	5.27
D072	Snake gourd, short (Trichosanthes anguina)	1	6.62	5.43	9.70	20.21	4.26	3.69	4.41	2.79	1.35	4.06	5.66	4.91	1.13	0.61	4.25	3.12	0.63	5.40
D073	Tinda, tender (Praecitrullus fistulosus)	6	4.37±0.33	7.03±1.14	10.29±0.95	19.87±3.60	3.52±0.10	3.92±0.20	5.06±0.14	2.94±0.24	1.78±0.13	4.11±0.09	6.70±0.22	4.88±0.86	0.91±0.04	0.70±0.05	3.64±0.10	3.70±0.08	0.62±0.13	5.79±0.12
D074	Tomato, green (Solanum lycopersicum)	6	2.46±0.17	3.93±0.46	10.94±0.69	30.29±4.05	3.35±0.17	2.37±0.38	3.76±0.45	2.27±0.08	2.26±1.19	2.69±0.26	3.62±0.37	4.35±0.52	1.01±0.16	0.80±0.07	3.47±0.59	2.62±0.37	0.73±0.07	3.09±0.15
D075	Solanum  Tomato, ripe, hybrid ( lycopersicum)	6	4.21±0.72	3.23±0.91	14.26±1.75	37.44±5.55	3.64±0.34	2.43±0.56	3.40±0.64	2.66±0.39	1.58±0.18	2.29±0.71	4.18±0.93	2.55±0.58	0.67±0.16	0.95±0.19	4.54±0.91	2.52±0.63	0.52±0.11	2.74±0.97
D076	Solanum  Tomato, ripe, local ( lycopersicum)	6	4.72±0.84	4.13±0.51	12.71±2.23	39.25±1.68	3.86±0.51	2.87±0.63	3.67±0.45	2.68±0.29	1.36±0.27	2.69±0.38	4.71±0.57	2.33±0.38	0.68±0.34	0.94±0.14	4.30±0.77	2.71±0.40	0.64±0.07	3.26±0.63
D077	Zucchini, green (Cucurbita pepo)	2	6.86	3.80	10.04	22.68	3.48	4.26	4.42	2.87	1.98	4.24	5.68	4.67	0.78	0.57	4.73	3.82	0.85	5.87
D078	Zucchini, yellow(Cucurbita pepo)	2	6.66	4.25	10.68	22.29	3.56	4.71	4.44	2.89	1.74	4.25	5.50	5.03	0.75	0.68	5.54	3.81	0.86	5.71
E	FRUITS																			
E001	Apple, big (Malus domestica)	6	8.22±0.20	3.19±0.21	25.16±2.09	8.92±1.09	3.58±0.43	3.28±0.16	5.64±0.20	2.67±0.25	2.26±0.25	3.56±0.19	5.17±0.12	3.01±0.22	1.23±0.13	0.75±0.13	3.39±0.36	3.85±0.28	0.86±0.12	3.50±0.26
E002	Apple, green (Malus domestica)	6	7.12±0.29	3.96±0.49	20.64±0.61	9.60±0.32	4.79±0.17	4.15±0.17	5.31±0.23	2.10±0.20	2.67±0.21	4.85±0.43	5.75±0.11	3.11±0.20	1.40±0.11	0.67±0.15	3.86±0.30	4.40±0.28	0.78±0.10	3.66±0.30
E003	Apple, small (Malus domestica)	6	6.86±0.70	2.47±0.26	22.08±2.22	9.64±0.27	4.93±0.54	3.78±0.33	5.67±0.66	2.39±0.23	2.36±0.43	3.86±0.47	5.71±0.72	2.86±0.21	1.27±0.13	0.71±0.13	3.74±0.19	4.07±0.62	0.85±0.06	4.38±0.31
E004	Apple, small, Kashmir (Malus domestica)	1	6.12	2.52	18.40	9.78	4.11	5.45	5.53	1.58	2.30	4.11	6.69	3.48	1.34	0.62	4.16	4.19	0.85	4.18
E005	Apricot, dried (Prunus armeniaca)	6	4.36±0.71	3.89±0.81	18.26±4.95	9.54±1.24	3.29±0.87	8.69±0.30	3.77±1.02	3.43±0.22	1.21±0.29	2.25±0.31	4.22±0.08	3.28±0.19	1.19±0.30	0.86±0.11	2.73±0.41	2.48±0.16	0.70±0.07	2.31±0.33
E006	Apricot, processed (Prunus armeniaca)	3	5.29±0.13	2.54±0.34	17.38±0.70	13.44±1.15	3.32±0.43	8.60±0.78	3.81±0.02	1.96±0.54	1.49±0.63	2.22±0.33	4.12±0.14	4.54±0.49	0.80±0.01	0.60±0.01	2.69±0.09	2.58±0.26	0.80±0.02	2.12±0.02
E007	) sp. Avocado fruit (Persea	1	5.38	4.45	15.56	13.37	4.25	4.48	4.46	2.64	2.38	3.45	6.27	5.84	1.66	1.58	4.24	3.48	1.04	4.48
E008	Bael fruit (Aegle marmelos)	1	4.82	3.86	18.20	14.26	3.86	5.26	5.40	2.43	2.52	3.29	5.86	4.86	1.26	0.65	4.81	4.16	0.98	4.62
E009	Banana, ripe, montham (Musa x paradisiaca)	1	5.25	2.52	12.92	13.91	3.35	5.11	5.99	2.30	6.76	4.94	9.22	4.51	1.18	0.64	5.52	4.66	0.81	5.82
E010	Banana, ripe, poovam (Musa x paradisiaca)	2	5.46	3.18	13.03	16.88	6.70	4.59	5.67	2.22	6.42	3.79	9.41	4.89	1.05	0.75	5.32	5.08	0.90	6.11
E011	Banana, ripe, red (Musa x paradisiaca)	1	4.89	2.75	13.32	17.90	5.37	4.16	5.39	1.97	6.77	4.25	8.72	4.17	1.20	0.53	5.28	4.56	0.82	6.56
E012	Banana, ripe, robusta (Musa x paradisiaca)	6	7.08±0.90	3.70±0.32	13.07±1.30	15.17±0.14	4.79±0.43	3.65±0.93	4.70±0.36	2.14±0.34	5.85±0.26	3.69±0.41	8.23±0.47	4.30±0.27	1.09±0.13	0.57±0.11	4.28±0.49	4.09±0.21	0.99±0.08	6.05±0.40
E013	) sp. Black berry (Rubus	5	6.40±0.24	4.31±2.14	12.08±0.69	15.66±0.50	6.02±0.65	5.55±0.42	5.36±0.50	3.03±0.26	3.09±0.34	4.86±0.26	7.82±0.34	4.72±0.13	1.49±0.16	0.66±0.12	5.18±0.91	4.76±0.43	0.83±0.06	6.57±0.58
E014	Cherries, red (Prunus cerasus)	4	4.99±1.97	1.77±0.53	28.46±12.91	15.62±3.07	6.51±2.15	4.22±0.96	4.61±0.88	2.20±0.41	1.76±0.23	3.46±0.88	5.88±1.42	3.88±0.27	1.68±0.61	0.92±0.10	4.10±1.05	4.06±0.75	0.50±0.06	4.78±1.02
E015	Currants, black (Ribes nigrum)	1	3.69	6.97	10.42	20.94	5.36	5.03	5.23	2.89	2.25	4.35	8.33	3.82	1.77	0.44	4.42	4.14	1.47	5.11
E016	Custard apple (Annona squamosa)	1	7.08	3.87	18.32	17.32	4.86	4.82	5.12	1.97	5.25	2.26	4.88	4.26	0.99	0.48	4.16	4.37	0.86	4.86
E017	Dates, dry, pale brown (Phoenix dactylifera)	6	6.94±0.51	4.08±0.44	12.80±0.35	15.76±1.09	6.18±0.41	5.78±0.90	5.08±0.24	2.15±0.40	1.84±0.38	1.92±0.39	5.17±0.79	2.44±0.77	1.03±0.20	1.33±0.12	3.55±0.72	3.73±0.43	0.85±0.12	2.85±0.46
E018	Dates, dry, dark brown (Phoenix dactylifera)	2	7.02	3.90	9.68	14.85	5.96	5.62	4.86	2.00	2.06	3.05	5.23	2.81	1.25	1.26	3.46	3.27	1.83	3.30
E019	Dates, processed (Phoenix dactylifera)	2	8.53	3.66	13.63	16.39	6.70	6.43	5.94	2.09	1.62	2.29	4.98	2.97	1.05	1.35	2.59	3.64	0.80	2.85
E020	Fig (Ficus carica)	6	5.74±0.47	2.02±0.15	20.90±0.89	19.36±1.12	4.71±0.32	4.89±0.36	4.63±0.20	2.80±0.18	1.16±0.05	4.84±0.20	5.80±0.19	3.19±0.18	0.90±0.14	1.68±0.12	3.36±0.28	4.24±0.35	0.85±0.03	5.34±0.14
E021	Gooseberry (Emblica officinalis)	5	6.47±1.67	3.87±0.45	14.90±2.63	23.90±2.39	5.01±0.47	4.48±0.48	4.95±0.23	2.60±0.39	2.40±0.26	1.94±0.34	4.25±0.42	4.06±0.50	0.73±0.17	0.61±0.16	4.85±2.04	3.30±0.69	0.75±0.08	2.99±0.39
E022	Grapes, seeded, round, black (Vitis vinifera)	4	6.56±0.46	5.97±0.35	9.65±0.78	22.50±3.32	3.35±0.42	4.72±0.68	4.59±0.51	2.24±0.68	2.59±0.25	1.98±0.37	5.92±0.81	2.15±0.18	1.13±0.31	1.17±0.02	3.59±0.35	4.90±0.39	0.49±0.03	2.60±0.18
E023	Grapes, seeded, round, green (Vitis vinifera)	5	7.11±0.65	6.58±0.22	10.41±0.69	21.65±1.32	3.44±0.28	4.29±1.41	4.61±0.48	2.34±0.61	2.61±0.31	2.20±0.09	6.31±0.72	2.34±0.16	1.04±0.16	1.25±0.11	3.12±0.33	5.33±0.31	0.66±0.06	2.46±0.24
E024	Grapes, seeded, round, red (Vitis vinifera)	5	6.32±1.55	6.50±0.24	10.87±0.98	19.45±0.92	3.18±0.14	4.72±0.27	4.79±0.19	2.49±0.30	2.34±0.19	3.49±0.30	5.86±0.40	1.92±0.13	0.94±0.16	1.14±0.12	4.14±0.53	4.87±0.72	0.69±0.13	2.83±0.25
E025	Grapes, seedless, oval, black (Vitis vinifera)	5	7.26±0.33	6.86±0.19	10.39±0.48	22.33±0.97	4.27±0.61	5.39±0.26	5.26±0.49	2.01±0.16	2.78±0.10	2.58±0.31	7.21±0.21	1.92±0.16	1.02±0.12	1.24±0.37	3.85±0.19	5.28±0.13	0.69±0.10	2.73±0.21
E026	Grapes, seedless, round, green (Vitis vinifera)	5	7.35±0.85	7.01±0.57	10.39±0.78	21.53±0.31	3.46±0.42	4.84±2.08	4.69±0.46	2.40±0.02	2.87±0.32	1.98±0.12	7.15±0.15	2.38±0.12	0.91±0.01	1.33±0.17	4.17±0.16	5.25±0.21	0.69±0.18	2.70±0.03
E027	Grapes, seedless, round, black (Vitis vinifera)	5	6.05±0.18	6.46±0.35	10.60±0.36	18.37±0.78	3.76±0.27	6.93±0.17	4.83±0.37	2.06±0.19	2.32±0.18	2.74±0.07	6.44±0.19	2.55±0.16	0.85±0.11	1.15±0.12	4.79±0.13	5.05±0.23	0.76±0.14	2.70±0.07
E028	Guava, white flesh (Psidium guajava)	5	6.26±0.88	3.18±0.23	19.73±3.56	15.70±1.14	6.12±0.61	5.56±0.51	3.80±0.59	2.66±0.07	2.04±0.07	4.08±0.82	6.77±0.86	2.55±0.19	0.96±0.05	0.97±0.12	1.34±0.13	3.15±0.46	0.83±0.12	3.27±0.21
E029	Guava, pink flesh (Psidium guajava)	5	6.52±0.86	3.31±0.27	19.16±1.61	15.59±0.74	6.98±0.98	5.67±0.35	4.19±0.33	2.63±0.33	1.84±0.21	3.94±0.27	6.01±0.60	2.76±0.17	0.89±0.23	1.02±0.30	1.55±0.28	3.77±0.22	0.77±0.04	3.36±0.20
E030	Jack fruit, ripe (Artocarpus heterophyllus)	5	6.16±0.67	3.22±0.88	26.27±5.38	9.24±1.33	5.40±1.49	4.42±0.76	5.39±1.72	3.22±1.06	1.63±0.23	3.49±0.55	6.76±0.90	3.32±0.40	0.54±0.13	0.50±0.09	4.49±1.06	4.35±0.71	0.62±0.51	5.18±1.28
E031	Jambu fruit, ripe (Syzygium samarangense)	2	7.04	1.54	11.99	15.22	6.59	6.09	5.54	3.23	2.38	5.21	8.52	1.99	1.85	0.93	5.63	5.32	0.83	6.99
E032	Karonda fruit (Carissa carandas)	1	5.62	4.21	15.38	15.62	3.85	3.82	4.85	3.12	3.08	2.86	4.85	1.98	1.25	1.18	3.86	3.66	0.85	4.62
E033	Lemon, juice (Citrus limon)	6	5.22±0.55	4.28±0.47	20.55±1.50	15.10±0.71	2.03±0.27	7.60±0.83	3.86±0.33	1.35±0.19	1.99±0.16	2.72±0.15	2.51±0.49	5.07±0.09	1.10±0.07	1.28±0.30	3.54±0.20	1.69±0.17	0.45±0.21	2.90±0.42
E034	Lime, sweet,pulp (Citrus limetta)	6	3.39±0.72	1.30±0.81	19.78±1.90	5.41±1.07	2.16±0.39	6.81±1.29	3.40±0.46	0.80±0.19	3.40±0.31	2.12±0.09	2.66±0.27	2.31±0.17	0.97±0.59	1.33±0.04	1.32±0.23	1.29±0.17	0.48±0.09	1.73±0.22
E035	Litchi chinensis ) Litchi (	4	10.56±1.75	2.24±0.75	11.65±0.62	16.07±1.40	5.56±0.45	5.72±1.59	5.16±0.51	2.92±0.73	1.84±0.27	4.73±0.36	8.08±0.63	4.95±0.22	1.46±0.23	1.22±0.15	5.39±0.39	4.74±0.52	0.74±0.04	6.05±0.58
E036	Mango, ripe, banganapalli (Mangifera indica)	6	8.21±0.31	4.26±1.36	11.58±0.78	15.60±1.03	5.88±0.57	4.07±1.13	4.14±0.35	2.21±0.49	2.69±0.29	3.73±0.48	8.18±1.05	5.69±0.24	1.57±0.13	0.78±0.19	3.20±0.17	5.10±0.44	0.94±0.32	5.92±0.91
E037	Mango, ripe, gulabkhas (Mangifera indica)	2	9.02	4.64	11.82	14.59	5.25	3.97	4.53	2.41	2.33	3.79	9.21	3.34	1.66	0.71	3.75	5.38	1.33	6.32
E038	Mango, ripe, himsagar (Mangifera indica)	3	10.14±0.58	4.41±0.94	12.41±1.44	14.99±0.30	5.99±0.47	4.11±0.74	4.44±0.37	2.82±0.77	2.18±0.33	3.80±0.44	7.55±0.42	4.74±0.56	1.69±0.17	1.04±0.03	3.70±0.33	5.23±0.36	1.16±0.49	4.87±0.76
E039	Mango, ripe, kesar (Mangifera indica)	4	8.62±0.43	4.48±0.83	12.75±1.15	14.51±1.20	6.13±0.73	4.24±0.40	4.52±0.25	2.70±0.35	2.07±0.19	4.05±0.65	8.26±0.97	3.05±0.53	1.59±0.27	0.85±0.28	3.47±0.49	5.29±0.59	1.28±0.26	5.23±0.93
E040	Mango, ripe, neelam (Mangifera indica)	2	9.93	4.29	12.33	15.06	6.03	3.48	6.55	2.54	2.46	4.30	9.19	3.10	1.84	1.22	3.38	5.61	1.33	6.29
E041	Mango, ripe, paheri (Mangifera indica)	2	9.03	3.90	12.19	14.82	5.49	3.95	4.06	2.45	1.94	4.36	8.25	3.44	1.20	0.94	3.94	5.45	1.49	6.13
E042	Mango, ripe, totapari (Mangifera indica)	1	8.84	4.53	13.49	13.95	5.86	3.47	4.26	2.27	2.07	4.20	8.85	3.51	1.65	0.90	4.15	5.25	1.21	5.92
E043	Mangosteen (Garcinia mangostana)	1	7.60	2.64	14.16	13.30	7.07	4.27	4.76	2.86	2.51	4.54	9.10	2.83	1.29	0.81	6.21	6.87	1.21	5.36
E044	Manila tamarind (Pithecellobium dulce)	1	6.25	3.35	13.85	16.45	4.21	3.56	4.86	1.85	2.78	3.64	5.60	2.21	1.26	0.59	4.35	4.81	1.14	4.92
E045	Musk melon, orange flesh (Cucumis melon)	5	12.72±1.30	2.12±0.39	10.60±0.69	28.92±5.33	3.89±0.82	2.97±0.30	4.26±0.82	1.65±0.29	0.93±0.14	1.75±0.37	4.09±1.02	1.84±0.25	0.89±0.10	0.79±0.07	1.82±0.48	3.60±0.83	0.56±0.17	3.33±0.42
E046	Musk melon, yellow flesh (Cucumis melon)	6	12.94±0.55	2.51±0.43	9.99±1.19	25.89±6.58	3.76±1.70	3.20±0.15	4.82±1.13	1.69±0.11	0.88±0.02	2.72±0.21	3.67±0.95	2.27±0.10	0.89±0.04	0.80±0.31	1.62±0.38	2.81±0.14	0.52±0.16	3.06±0.43
E047	Orange, pulp (Citrus aurantium)	6	2.28±1.28	6.51±0.26	13.29±2.66	5.82±1.15	2.46±0.27	12.17±2.77	3.38±0.25	1.08±0.15	0.70±0.16	1.39±0.34	2.11±0.12	2.98±0.38	0.53±0.10	0.48±0.06	1.77±0.20	1.52±0.13	0.54±0.05	2.12±0.39
E048	Palm fruit, tender (Borassus flabellifer)	1	6.84	3.85	13.86	16.82	4.56	4.17	5.18	1.25	3.14	4.16	3.74	2.35	0.85	1.10	2.76	4.32	0.44	4.31
E049	Papaya, ripe (Carica papaya)	6	4.23±0.42	2.59±0.51	15.42±1.42	13.85±3.84	5.23±0.19	4.55±0.97	4.70±0.95	2.85±0.63	0.87±0.36	2.27±0.24	4.43±0.26	4.91±0.40	0.68±0.06	0.73±0.07	1.93±0.11	3.27±0.64	1.66±0.09	3.93±0.79
E050	Peach (Prunus communis)	1	5.77	4.14	21.02	19.19	3.23	4.07	4.79	1.78	1.53	2.54	5.49	2.75	0.98	1.21	2.95	4.92	0.43	5.43
E051	Pear (Pyrus sp.)	6	6.55±0.35	2.48±0.41	25.05±2.31	11.67±1.81	4.31±0.62	3.64±0.62	4.46±0.26	1.36±0.13	1.39±0.30	3.65±0.28	4.95±0.89	2.27±0.35	1.05±0.22	0.87±0.33	3.04±1.21	3.64±0.51	0.58±0.13	5.10±0.31
E052	Phalsa (Grewia asiatica)	2	5.27	5.86	12.12	18.54	4.96	5.31	5.01	2.18	1.91	4.44	7.19	2.82	2.05	1.10	4.84	4.18	0.66	5.76
E053	Pineapple (Ananas comosus)	6	6.94±0.99	2.64±0.71	27.04±8.48	14.92±3.44	5.32±1.65	3.76±0.81	5.31±1.27	3.10±0.21	1.37±0.58	2.61±0.69	3.97±0.44	4.03±0.10	1.06±0.28	2.23±0.06	2.59±0.70	3.01±0.87	1.09±0.14	4.07±0.92
E054	Plum (Prunus domestica)	3	4.25±0.23	2.67±0.25	32.17±0.94	4.85±0.07	2.06±0.19	5.83±0.09	4.23±0.12	1.61±0.14	1.33±0.18	2.20±0.22	3.82±0.10	2.97±0.13	1.08±0.12	1.89±0.15	2.75±0.14	2.33±0.18	1.21±0.10	3.63±0.18
E055	Pomegranate, maroon seeds (Punica granatum)	6	4.80±0.80	8.35±2.12	8.50±0.32	27.33±2.29	3.55±0.14	3.46±0.43	4.83±0.49	1.83±0.39	1.94±0.16	1.67±0.57	4.87±0.64	1.15±0.44	0.61±0.25	0.89±0.29	3.18±0.55	2.59±0.42	0.46±0.08	2.40±0.42
E056	Pummelo (Citrus maxima)	3	7.62±0.38	5.19±0.54	27.70±1.20	12.35±0.25	2.74±0.17	9.41±0.30	4.78±0.11	1.83±0.08	1.76±0.15	2.81±0.19	4.69±0.20	3.78±0.21	0.87±0.05	0.81±0.14	2.45±0.35	3.19±0.22	0.48±0.03	4.23±0.14
E057	Raisins, dried, black (Vitis vinifera)	6	6.28±0.60	13.13±2.04	7.35±1.24	10.49±0.33	3.29±0.87	8.53±0.43	4.32±0.37	2.20±0.71	2.17±0.32	1.97±0.25	4.80±0.71	2.90±0.60	0.97±0.13	0.61±0.12	2.44±0.24	2.91±0.32	0.97±0.07	2.87±0.06
E058	Raisins, dried, golden (Vitis vinifera)	6	6.64±0.98	14.04±0.69	6.30±0.39	11.02±0.23	3.75±0.26	9.38±0.47	5.15±0.93	1.56±0.35	2.92±0.43	1.88±0.19	4.26±0.32	3.04±0.40	0.74±0.11	0.78±0.16	2.51±0.50	3.39±0.77	0.70±0.33	2.84±0.55
E059	Rambutan (Nephelium lappaceum)	1	5.87	6.75	12.73	28.08	6.62	4.66	2.69	2.70	3.38	1.90	4.66	3.54	1.12	0.76	2.41	4.01	1.25	4.77
E060	Sapota (Achras sapota)	6	5.92±0.62	6.70±0.44	10.90±0.95	10.63±1.16	5.20±0.61	3.80±0.22	5.60±0.48	3.35±0.47	3.61±0.37	3.52±0.25	6.10±0.43	4.93±0.59	0.82±0.24	0.51±0.15	3.95±0.54	4.68±0.48	0.75±0.09	5.03±0.64
E061	Soursop (Annona muricata)	1	4.30	3.63	15.84	19.99	5.07	5.69	5.17	3.31	2.93	4.45	6.62	4.67	1.02	0.57	4.99	4.56	0.84	5.91
E062	Star fruit (Averrhoa carambola)	1	6.10	5.37	17.40	18.55	4.45	3.35	4.67	3.89	2.60	2.80	5.67	5.30	0.91	0.74	4.07	3.89	0.87	4.21
E063	Strawberry (Fragaria x ananassa)	6	4.98±0.30	4.51±0.30	19.70±1.69	15.88±0.98	5.63±0.39	3.41±0.18	4.10±0.28	2.88±0.29	2.56±0.31	3.61±0.53	5.61±0.44	3.14±0.29	0.86±0.09	0.67±0.11	2.50±0.28	4.32±0.24	0.93±0.17	4.51±0.38
E064	Tamarind, pulp (Tamarindus indica)	6	4.34±0.41	3.15±0.42	12.28±0.72	15.19±0.82	4.01±0.43	5.04±0.48	3.51±0.39	3.43±0.49	2.58±0.50	3.28±0.75	5.58±0.54	5.18±0.61	0.84±0.15	0.71±0.15	5.46±0.73	3.26±0.51	0.85±0.15	4.02±0.72
