food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
A018	Wheat flour, refined (Triticum aestivum)	6	2.98	3.49	4.63	31.57	3.21	9.23	4.77	2.62	1.95	3.19	6.22	2.05	1.64	2.03	4.29	2.34	1.04	4.01	0.39	0.23	0.18	1.8	0.2	0.28	0.44	0.64	0.27	0.2	0.28	0.46	0.08	0.16	0.37	0.15	0.39	0.27
A019	Wheat flour, atta (Triticum aestivum)	6	3.88	4.7	5.06	29.61	3.76	10.27	4.73	2.1	2.56	3.78	6.13	2.42	1.77	2.24	5.03	2.58	0.99	5.12	0.16	0.25	0.22	2.08	0.08	0.14	0.48	0.84	0.18	0.56	0.21	0.48	0.14	0.16	1.11	0.06	0.49	0.21
A020	Wheat, whole (Triticum aestivum)	6	3.64	5.13	5.44	27.06	4.19	10.25	4.8	3.12	2.65	3.83	6.81	3.13	1.75	2.35	4.75	3.01	1.4	5.11	0.33	0.31	0.26	1.76	0.21	0.38	0.05	1.49	0.23	0.23	0.33	0.33	0.17	0.1	0.21	0.31	0.14	0.2
A021	Wheat, bulgur (Triticum aestivum)	6	3.48	5.36	5.15	30.48	4.27	10.49	4.87	2.46	2.23	3.48	6.61	2.42	1.62	1.96	4.46	2.46	1.11	4.28	0.19	0.25	0.1	5.06	0.36	2.1	0.25	0.52	0.05	0.19	0.54	0.66	0.34	0.15	0.42	1.23	0.17	0.28
A022	Wheat, semolina (Triticum aestivum)	6	3.46	4.34	4.94	31.05	3.5	9.49	4.44	3.0	2.38	3.43	6.71	2.54	1.57	1.79	4.77	2.71	1.04	4.47	0.21	0.27	0.13	1.75	0.23	0.32	0.39	0.84	0.03	0.11	0.2	0.59	0.15	0.12	0.35	0.24	0.67	0.26
A023	Wheat, vermicelli (Triticum aestivum)	6	3.59	2.98	5.39	31.96	4.54	9.89	5.33	2.18	1.76	1.56	5.23	1.83	1.17	1.83	4.9	2.26	1.07	3.54	0.97	0.11	0.04	1.2	0.14	1.74	1.35	1.65	0.02	1.77	0.43	1.23	0.16	0.09	0.13	0.76	0.62	0.56
A024	Wheat, vermicelli, roasted (Triticum aestivum)	6	3.74	2.84	4.78	34.08	4.35	9.43	5.35	1.92	1.63	1.46	5.63	1.54	1.15	1.85	4.96	2.25	0.99	3.71	0.75	0.23	0.3	0.6	0.08	2.06	0.24	0.72	0.08	0.47	0.49	0.24	0.28	0.14	0.55	0.82	0.41	0.13
B016	Moth bean (Vigna aconitifolia)	6	5.0	7.68	10.54	16.89	3.68	3.95	5.04	2.92	2.8	4.17	7.85	6.63	0.97	0.43	5.85	3.63	0.92	4.9	0.81	0.29	0.6	1.33	0.2	0.7	0.47	0.48	0.06	0.31	0.76	0.73	0.11	0.04	0.42	0.37	0.38	0.57
B017	Peas, dry (Pisum sativum)	6	4.51	8.09	11.34	17.52	4.19	3.73	4.83	3.25	2.34	3.87	7.02	7.12	0.68	0.82	4.76	3.65	0.86	4.67	0.72	0.09	0.51	0.81	0.19	0.23	0.66	0.19	0.15	0.16	0.3	0.38	0.15	0.19	0.44	0.19	0.38	0.46
B018	Rajmah, black (Phaseolus vulgaris)	2	4.68	5.81	12.96	18.89	3.42	3.23	5.1	3.1	2.44	3.91	6.84	6.01	0.79	0.72	5.32	3.91	1.22	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B019	Rajmah, brown (Phaseolus vulgaris)	6	4.59	5.96	11.35	16.6	3.9	3.63	5.81	3.24	2.71	4.27	7.93	6.67	0.97	0.62	5.91	4.35	1.04	5.21	0.95	0.22	0.18	0.73	0.26	0.56	0.69	0.27	0.21	0.12	0.25	0.43	0.21	0.13	0.34	0.14	0.44	0.5
